	Maupassant_PierreJean_0	Maupassant_PierreJean_1	Maupassant_PierreJean_2	Maupassant_PierreJean_3	Maupassant_PierreJean_4	Maupassant_PierreJean_5	Maupassant_PierreJean_6	Maupassant_PierreJean_7	Maupassant_PierreJean_8	Maupassant_PierreJean_9	Maupassant_PierreJean_10	Maupassant_PierreJean_sum
,_PUN_,	509.0	445.0	411.0	446.0	505.0	444.0	433.0	428.0	378.0	371.0	106.0	4476.0
._SENT_.	156.0	191.0	183.0	169.0	162.0	210.0	182.0	188.0	204.0	205.0	80.0	1930.0
de_PRP_de	180.0	169.0	166.0	162.0	149.0	116.0	145.0	150.0	142.0	156.0	37.0	1572.0
et_KON_et	126.0	106.0	113.0	138.0	110.0	92.0	136.0	109.0	99.0	124.0	29.0	1182.0
la_DET:ART_le	97.0	85.0	97.0	91.0	92.0	94.0	91.0	83.0	75.0	92.0	32.0	929.0
à_PRP_à	76.0	70.0	73.0	72.0	87.0	78.0	101.0	64.0	62.0	64.0	22.0	769.0
le_DET:ART_le	78.0	52.0	70.0	83.0	71.0	60.0	54.0	49.0	41.0	61.0	22.0	641.0
il_PRO:PER_il	28.0	65.0	84.0	60.0	79.0	52.0	44.0	39.0	64.0	56.0	14.0	585.0
les_DET:ART_le	64.0	47.0	38.0	55.0	49.0	49.0	72.0	45.0	33.0	55.0	16.0	523.0
»_PUN:cit_»	53.0	65.0	45.0	47.0	16.0	49.0	43.0	48.0	59.0	48.0	28.0	501.0
«_PUN:cit_«	53.0	65.0	43.0	47.0	16.0	50.0	43.0	49.0	58.0	48.0	26.0	498.0
un_DET:ART_un	52.0	52.0	47.0	37.0	40.0	32.0	49.0	34.0	39.0	50.0	12.0	444.0
:_PUN_:	48.0	45.0	34.0	44.0	10.0	45.0	32.0	44.0	49.0	42.0	20.0	413.0
ne_ADV_ne	29.0	24.0	38.0	33.0	35.0	42.0	36.0	44.0	53.0	31.0	9.0	374.0
se_PRO:PER_se	24.0	28.0	34.0	33.0	44.0	31.0	57.0	28.0	38.0	45.0	9.0	371.0
son_DET:POS_son	27.0	27.0	44.0	35.0	46.0	41.0	34.0	31.0	35.0	32.0	14.0	366.0
qui_PRO:REL_qui	57.0	33.0	23.0	35.0	26.0	27.0	36.0	28.0	28.0	44.0	10.0	347.0
lui_PRO:PER_lui	18.0	25.0	39.0	30.0	49.0	30.0	38.0	29.0	49.0	24.0	13.0	344.0
une_DET:ART_un	37.0	32.0	43.0	34.0	31.0	36.0	30.0	28.0	26.0	34.0	13.0	344.0
des_PRP:det_du	34.0	38.0	31.0	38.0	30.0	31.0	41.0	25.0	27.0	42.0	4.0	341.0
dans_PRP_dans	21.0	18.0	33.0	26.0	50.0	33.0	43.0	38.0	26.0	41.0	6.0	335.0
?_SENT_?	21.0	31.0	40.0	22.0	45.0	32.0	21.0	45.0	37.0	30.0	9.0	333.0
!_SENT_!	18.0	24.0	20.0	17.0	42.0	31.0	35.0	43.0	47.0	20.0	20.0	317.0
que_KON_que	32.0	28.0	26.0	29.0	27.0	36.0	18.0	38.0	53.0	26.0	4.0	317.0
sa_DET:POS_son	14.0	19.0	20.0	30.0	53.0	29.0	24.0	26.0	37.0	28.0	11.0	291.0
pas_ADV_pas	13.0	25.0	35.0	30.0	22.0	33.0	18.0	35.0	45.0	25.0	4.0	285.0
en_PRP_en	38.0	25.0	25.0	37.0	27.0	22.0	33.0	16.0	22.0	23.0	11.0	279.0
pour_PRP_pour	16.0	33.0	22.0	33.0	30.0	27.0	30.0	24.0	17.0	26.0	6.0	264.0
Il_PRO:PER_il	7.0	25.0	27.0	22.0	47.0	21.0	16.0	26.0	31.0	29.0	6.0	257.0
--_PUN_--	23.0	21.0	22.0	11.0	11.0	27.0	19.0	41.0	46.0	21.0	8.0	250.0
sur_PRP_sur	19.0	24.0	22.0	23.0	17.0	22.0	33.0	14.0	25.0	30.0	15.0	244.0
plus_ADV_plus	16.0	20.0	22.0	27.0	29.0	14.0	21.0	35.0	26.0	22.0	8.0	240.0
je_PRO:PER_je	10.0	19.0	16.0	14.0	4.0	27.0	15.0	49.0	59.0	20.0	5.0	238.0
du_PRP:det_du	24.0	36.0	21.0	28.0	23.0	17.0	16.0	9.0	16.0	29.0	7.0	226.0
par_PRP_par	21.0	14.0	26.0	25.0	19.0	20.0	27.0	27.0	17.0	23.0	6.0	225.0
ce_PRO:DEM_ce	12.0	22.0	17.0	17.0	24.0	28.0	14.0	26.0	23.0	25.0	6.0	214.0
..._PUN_...	3.0	19.0	3.0	15.0	17.0	14.0	8.0	52.0	44.0	5.0	14.0	194.0
avait_VER:impf_avoir	15.0	18.0	19.0	13.0	40.0	23.0	13.0	19.0	10.0	19.0	5.0	194.0
elle_PRO:PER_elle	27.0	10.0	7.0	4.0	13.0	26.0	33.0	24.0	13.0	27.0	9.0	193.0
Pierre_NAM_Pierre	19.0	18.0	13.0	28.0	17.0	23.0	9.0	21.0	18.0	15.0	6.0	187.0
Jean_NAM_Jean	22.0	24.0	15.0	6.0	16.0	20.0	17.0	28.0	24.0	8.0	6.0	186.0
;_PUN_;	19.0	30.0	19.0	19.0	10.0	18.0	16.0	20.0	12.0	17.0	5.0	185.0
avec_PRP_avec	21.0	13.0	24.0	16.0	14.0	14.0	11.0	20.0	24.0	10.0	7.0	174.0
