Chargés	VER:pper	charger
levèrent	VER:simp	lever
Jean	NAM	jean
qui	PRO:REL	qui
amarré	VER:pper	amarrer
qu'	PRO:REL	que
sur	PRP	sur
,	PUN	,
Le	DET:ART	le
ordinaire	NOM	ordinaire
,	PUN	,
pour	KON	pour
leur	DET:POS	leur
d'	PRP	de
et	KON	et
,	PUN	,
Orcival	NAM	orcival
,	PUN	,
la	DET:ART	le
<EOS>	<EOS>	<EOS>
bateau	NOM	bateau
à	PRP	à
et	KON	et
à	PRP	à
trois	NUM	trois
agrès	NOM	agrès
du	PRP:det	du
de	PRP	de
.	SENT	.
.	SENT	.
une	DET:ART	un
pour	PRP	pour
aperçoit	VER:pres	apercevoir
rendaient	VER:impf	rendre
186.	ADJ	@ord@
vivre	VER:infi	vivre
à	PRP	à
9	NUM	@card@
.	SENT	.
ce	PRO:DEM	ce
chemin	NOM	chemin
,	PUN	,
bien	ADV	bien
fils	NOM	fil|fils
maraude	NOM	maraud|maraude
à	PRP	à
dit	VER:pres	dire
matin	NOM	matin
son	DET:POS	son
heures	NOM	heure
leurs	DET:POS	leur
les	DET:ART	le
d'	PRP	de
acacias	NOM	acacia
le	DET:ART	le
Ils	PRO:PER	il
la	DET:ART	le
Seine	NAM	seine
charmant	ADJ	charmant
aller	VER:infi	aller
descendirent	VER:simp	descendre
,	PUN	,
du	PRP:det	du
Bertaud	NAM	bertaud
on	PRO:PER	on
Évry	NAM	évry
,	PUN	,
,	PUN	,
à	PRP	à
station	NOM	station
la	DET:ART	le
et	KON	et
de	PRP	de
Orcival	NAM	orcival
d'	PRP	de
I	NUM	i
,	PUN	,
Ripaille	NAM	ripaille
se	PRO:PER	se
juillet	NOM	juillet
ombragé	VER:pper	ombrager
avec	PRP	avec
jour	NOM	jour
pêche	NOM	pêche
,	PUN	,
de	PRP	de
,	PUN	,
se	PRO:PER	se
La	DET:ART	le
bourg	NOM	bourg
,	PUN	,
braconnage	NOM	braconnage
<EOS>	<EOS>	<EOS>
d'	PRP	de
connus	VER:pper	connaître
de	PRP	de
un	DET:ART	un
ils	PRO:PER	il
jeudi	NOM	jeudi
conduit	VER:pres	conduire
<SEG>
fil	NOM	fil
contenait	VER:impf	contenir
la	DET:ART	le
pêche	NOM	pêche
le	DET:ART	le
vieille	ADJ	vieux
le	DET:ART	le
<EOS>	<EOS>	<EOS>
maniait	VER:impf	manier
un	DET:ART	un
de	PRP	de
pont	NOM	pont
mètres	NOM	mètre
il	PRO:PER	il
rame	NOM	rame
de	PRP	de
<EOS>	<EOS>	<EOS>
de	PRP	de
bateau	NOM	bateau
qu'	KON	que
comte	NOM	comte
il	PRO:PER	il
rivière	NOM	rivière
prairie	NOM	prairie
eau	NOM	eau
la	DET:ART	le
La	DET:ART	le
Arrivés	VER:pper	arriver
.	SENT	.
rompre	VER:infi	rompre
dans	PRP	dans
tolets	NOM	tolet
leurs	DET:POS	leur
des	PRP:det	du
bord	NOM	bord
qu'	PRO:REL	que
main	NOM	main
il	PRO:PER	il
long	NOM	long
de	PRP	de
débarrassèrent	VER:simp	débarrasser
au	PRP:det	au
et	KON	et
de	PRP	de
était	VER:impf	être
