Saint-Francois-Xavier	NAM	saint-francois-xavier
,	PUN	,
I	NUM	i
dirigeaient	VER:impf	diriger
L'	DET:ART	le
PREMIER	NAM	premier
que	PRO:REL	que
,	PUN	,
LIVRE	NOM	livre
école	NOM	école
<SEG>
Jésuites	NAM	jésuites
,	PUN	,
Pères	NOM	père
dirigent	VER:pres	diriger
la	DET:ART	le
les	DET:ART	le
encore	ADV	encore
en	PRP	en
pittoresque	ADJ	pittoresque
que	PRO:REL	que
<SEG>
,	PUN	,
,	PUN	,
ville	NOM	ville
1862	NUM	@card@
se	PRO:PER	se
,	PUN	,
trouvait	VER:impf	trouver
Vannes	NAM	vannes
de	PRP	de
vers	PRP	vers
<SEG>
renommée	NOM	renommée
de	PRP	de
Aujourd'hui	ADV	aujourd'hui
dans	PRP	dans
.	SENT	.
sa	DET:POS	son
l'	DET:ART	le
<EOS>	<EOS>	<EOS>
tout	PRO:IND	tout
éclat	NOM	éclat
<SEG>
qui	PRO:REL	qui
ces	PRO:DEM	ce
de	PRP	de
par	PRP	par
,	PUN	,
caprices	NOM	caprice
mode	NOM	mode
la	DET:ART	le
de	PRP	de
un	NUM	un
<SEG>
des	PRP:det	du
des	PRP:det	du
et	KON	et
,	PUN	,
forme	NOM	forme
changent	VER:pres	changer
royautés	NOM	royauté
gouvernements	NOM	gouvernement
la	DET:ART	le
atteignent	VER:pres	atteindre
<SEG>
,	PUN	,
bien	ADV	bien
plus	ADV	plus
des	PRP:det	du
,	PUN	,
et	KON	et
chapeaux	NOM	chapeau
collèges	NOM	collège
des	PRP:det	du
féminines	ADJ	féminin
<SEG>
amenèrent	VER:simp	amener
lesquelles	PRO:REL	lequel
par	PRP	par
n'	ADV	ne
que	KON	que
,	PUN	,
persécutions	NOM	persécution
politiques	ADJ	politique
récentes	ADJ	récent
les	DET:ART	le
<SEG>
de	PRP	de
rétabli	VER:pper	rétablir
qu'	KON	que
est	VER:pres	être
vite	ADV	vite
changement	NOM	changement
un	DET:ART	un
elle	PRO:PER	elle
personnel	NOM	personnel
,	PUN	,
<SEG>
tombée	VER:pper	tomber
diocésain	ADJ	diocésain
d'	PRP	de
<EOS>	<EOS>	<EOS>
un	DET:ART	un
séminaire	NOM	séminaire
.	SENT	.
quelconque	ADJ	quelconque
niveau	NOM	niveau
au	PRP:det	au
<SEG>
il	PRO:PER	il
cette	PRO:DEM	ce
en	PRO:PER	en
,	PUN	,
époque	NOM	époque
peu	ADV	peu
à	PRP	à
existait	VER:impf	exister
Mais	KON	mais
,	PUN	,
<SEG>
soit	KON	soit
parmi	PRP	parmi
soit	KON	soit
les	DET:ART	le
congréganistes	NOM	congréganiste
,	PUN	,
,	PUN	,
laïques	ADJ	laïque
parmi	PRP	parmi
les	DET:ART	le
<SEG>
,	PUN	,
florissantes	ADJ	florissant
des	PRP:det	du
d'	PRP	de
.	SENT	.
Outre	ADV	outre
aussi	ADV	aussi
fils	NOM	fil|fils
<EOS>	<EOS>	<EOS>
les	DET:ART	le
<SEG>
,	PUN	,
Anjou	NAM	anjou
de	PRP	de
Bretagne	NAM	bretagne
l'	DET:ART	le
,	PUN	,
familles	NOM	famille
de	PRP	de
la	DET:ART	le
nobles	ADJ	noble
<SEG>
de	PRP	de
formaient	VER:impf	former
son	DET:POS	son
de	PRP	de
,	PUN	,
qui	PRO:REL	qui
la	DET:ART	le
le	DET:ART	le
fond	NOM	fond
Vendée	NAM	vendée
<SEG>
élèves	NOM	élève
,	PUN	,
la	DET:ART	le
institution	NOM	institution
des	PRP:det	du
ordinaire	ADJ	ordinaire
célèbre	ADJ	célèbre
recevait	VER:impf	recevoir
de	PRP	de
clientèle	NOM	clientèle
<SEG>
la	DET:ART	le
France	NAM	france
Elle	PRO:PER	elle
de	PRP	de
toutes	PRO:IND	tout
parties	NOM	partie
.	SENT	.
<EOS>	<EOS>	<EOS>
bien-pensante	ADJ	bien-pensant
les	DET:ART	le
<SEG>
de	PRP	de
l'	DET:ART	le
étranger	ADJ	étranger
en	PRO:PER	en
d'	PRP	de
même	ADV	même
