I	NUM	i
large	NOM	large
au	PRP:det	au
Le	DET:ART	le
1827	NUM	@card@
octobre	NOM	octobre
--	PUN	--
18	NUM	@card@
,	PUN	,
Navire	NAM	navire
<SEG>
levantin	ADJ	levantin
un	DET:ART	un
soir	NOM	soir
du	PRP:det	du
vers	PRP	vers
bâtiment	NOM	bâtiment
petit	ADJ	petit
,	PUN	,
heures	NOM	heure
cinq	NUM	cinq
<SEG>
le	DET:ART	le
vent	NOM	vent
serrait	VER:impf	serrer
la	DET:ART	le
pour	PRP	pour
nuit	NOM	nuit
essayer	VER:infi	essayer
d'	PRP	de
atteindre	VER:infi	atteindre
avant	PRP	avant
<SEG>
l'	DET:ART	le
,	PUN	,
port	NOM	port
Vitylo	NAM	vitylo
à	PRP	à
le	DET:ART	le
entrée	NOM	entrée
golfe	NOM	golfe
de	PRP	de
du	PRP:det	du
<SEG>
Oetylos	NAM	oetylos
de	PRP	de
l'	DET:ART	le
Ce	PRO:DEM	ce
Coron	NAM	coron
,	PUN	,
.	SENT	.
<EOS>	<EOS>	<EOS>
port	NOM	port
ancien	ADJ	ancien
<SEG>
une	NUM	un
de	PRP	de
dans	PRP	dans
d'	PRP	de
l'	DET:ART	le
situé	VER:pper	situer
,	PUN	,
est	VER:pres	être
Homère	NAM	homère
ces	PRO:DEM	ce
<SEG>
,	PUN	,
indentations	NOM	indentation
mer	NOM	mer
découpent	VER:pres	découper
trois	NUM	trois
sur	PRP	sur
qui	PRO:REL	qui
profondes	ADJ	profond
Ionienne	NAM	ionienne
la	DET:ART	le
<SEG>
Égée	NAM	égée
feuille	NOM	feuille
la	DET:ART	le
platane	NOM	platane
sur	PRP	sur
de	PRP	de
,	PUN	,
cette	PRO:DEM	ce
mer	NOM	mer
et	KON	et
<SEG>
on	PRO:PER	on
comparé	VER:pper	comparer
a	VER:pres	avoir
à	PRP	à
,	PUN	,
la	DET:ART	le
très	ADV	très
laquelle	PRO:REL	lequel
justement	ADV	justement
Grèce	NAM	grèce
<SEG>
l'	DET:ART	le
cette	PRO:DEM	ce
se	PRO:PER	se
.	SENT	.
méridionale	ADJ	méridional
feuille	NOM	feuille
antique	ADJ	antique
développe	VER:pres	développer
<EOS>	<EOS>	<EOS>
Sur	PRP	sur
<SEG>
,	PUN	,
de	PRP	de
<EOS>	<EOS>	<EOS>
Morée	NAM	morée
la	DET:ART	le
moderne	ADJ	moderne
Péloponnèse	NOM	péloponnèse
la	DET:ART	le
.	SENT	.
géographie	NOM	géographie
<SEG>
dentelures	NOM	dentelure
à	PRP	à
,	PUN	,
de	PRP	de
La	DET:ART	le
première	NUM	premier
,	PUN	,
ouest	NOM	ouest
l'	DET:ART	le
ces	PRO:DEM	ce
<SEG>
est	VER:pres	être
Coron	NAM	coron
,	PUN	,
ouvert	VER:pper	ouvrir
la	DET:ART	le
de	PRP	de
entre	PRP	entre
c'	PRO:DEM	ce
le	DET:ART	le
golfe	NOM	golfe
<SEG>
est	VER:pres	être
seconde	NUM	second
la	DET:ART	le
c'	PRO:DEM	ce
Magne	NAM	magne
Messénie	NAM	messénie
;	PUN	;
,	PUN	,
le	DET:ART	le
et	KON	et
<SEG>
échancre	VER:pres	échancrer
le	DET:ART	le
de	PRP	de
largement	ADV	largement
,	PUN	,
littoral	NOM	littoral
Marathon	NAM	marathon
golfe	NOM	golfe
qui	PRO:REL	qui
le	DET:ART	le
<SEG>
c'	PRO:DEM	ce
Laconie	NAM	laconie
de	PRP	de
;	PUN	;
,	PUN	,
troisième	NUM	troisième
sévère	ADJ	sévère
est	VER:pres	être
la	DET:ART	le
le	DET:ART	le
<SEG>
le	DET:ART	le
,	PUN	,
dont	PRO:REL	dont
Nauplie	NAM	nauplie
cette	PRO:DEM	ce
les	DET:ART	le
de	PRP	de
golfe	NOM	golfe
eaux	NOM	eau
séparent	VER:pres	séparer
<SEG>
l'	DET:ART	le
ces	PRO:DEM	ce
de	PRP	de
de	PRP	de
.	SENT	.
Au	PRP:det	au
Argolide	NAM	argolide
<EOS>	<EOS>	<EOS>
premier	NOM	premier
Laconie	NAM	laconie
<SEG>
appartient	VER:pres	appartenir
le	DET:ART	le
port	NOM	port
.	SENT	.
golfes	NOM	golfe
trois	NUM	trois
Vitylo	NAM	vitylo
<EOS>	<EOS>	<EOS>
Creusé	VER:pper	creuser
de	PRP	de
<SEG>
au	PRP:det	au
la	DET:ART	le
de	PRP	de
orientale	ADJ	oriental
lisière	NOM	lisière
sa	DET:POS	son
fond	NOM	fond
rive	NOM	rive
,	PUN	,
à	PRP	à
<SEG>
il	PRO:PER	il
une	DET:ART	un
d'	PRP	de
,	PUN	,
les	DET:ART	le
anse	NOM	anse
irrégulière	ADJ	irrégulier
premiers	NUM	premier
occupe	VER:pres	occuper
contreforts	NOM	contrefort
<SEG>
orographique	ADJ	orographique
le	DET:ART	le
du	PRP:det	du
l'	DET:ART	le
dont	PRO:REL	dont
forme	VER:pres	former
,	PUN	,
prolongement	NOM	prolongement
Taygète	NAM	taygète
maritimes	ADJ	maritime
<SEG>
<EOS>	<EOS>	<EOS>
.	SENT	.
Magne	NAM	magne
du	PRP:det	du
pays	NOM	pays
ossature	NOM	ossature
ce	PRO:DEM	ce
sûreté	NOM	sûreté
La	DET:ART	le
de	PRP	de
<SEG>
ses	DET:POS	son
passes	NOM	passe
fonds	NOM	fond|fonds
,	PUN	,
orientation	NOM	orientation
de	PRP	de
l'	DET:ART	le
,	PUN	,
de	PRP	de
ses	DET:POS	son
<SEG>
font	VER:pres	faire
l'	DET:ART	le
un	NOM	un
les	DET:ART	le
couvrent	VER:pres	couvrir
en	PRO:PER	en
,	PUN	,
le	PRO:PER	le
hauteurs	NOM	hauteur
qui	PRO:REL	qui
<SEG>
côte	NOM	côte
tous	PRO:IND	tout
des	PRP:det	du
par	PRP	par
incessamment	ADV	incessamment
d'	PRP	de
battue	VER:pper	battre
meilleurs	ADJ	meilleur
une	DET:ART	un
refuges	NOM	refuge
<SEG>
bâtiment	NOM	bâtiment
vents	NOM	vent
ces	PRO:DEM	ce
.	SENT	.
<EOS>	<EOS>	<EOS>
méditerranéennes	ADJ	méditerranéen
mers	NOM	mer
les	DET:ART	le
Le	DET:ART	le
de	PRP	de
<SEG>
,	PUN	,
,	PUN	,
s'	PRO:PER	se
au	PRP:det	au
plus	ADV	plus
élevait	VER:impf	élever
qui	PRO:REL	qui
,	PUN	,
contre	PRP	contre
près	ADV	près
<SEG>
,	PUN	,
de	PRP	de
fraîche	ADJ	frais
brise	NOM	brise
assez	ADV	assez
ne	ADV	ne
une	DET:ART	un
nord-nord-ouest	NOM	nord-nord-ouest
pouvait	VER:impf	pouvoir
être	VER:infi	être
<SEG>
quais	NOM	quai
Vitylo	NAM	vitylo
visible	ADJ	visible
de	PRP	de
Une	DET:ART	un
<EOS>	<EOS>	<EOS>
de	PRP	de
des	PRP:det	du
.	SENT	.
distance	NOM	distance
<SEG>
en	PRO:PER	en
.	SENT	.
encore	ADV	encore
six	NUM	six
<EOS>	<EOS>	<EOS>
séparait	VER:impf	séparer
milles	NOM	mille
sept	NUM	sept
l'	PRO:PER	la|le
à	PRP	à
<SEG>
que	KON	que
fût	VER:subi	être
clair	ADJ	clair
Bien	ADV	bien
est	VER:pres	être
,	PUN	,
c'	PRO:DEM	ce
le	DET:ART	le
très	ADV	très
temps	NOM	temps
<SEG>
peine	NOM	peine
à	PRP	à
la	DET:ART	le
de	PRP	de
plus	ADV	plus
ses	DET:POS	son
si	KON	si
voiles	NOM	voile
hautes	ADJ	haut
bordure	NOM	bordure
<SEG>
extrême	ADJ	extrême
se	PRO:PER	se
horizon	NOM	horizon
découpait	VER:impf	découper
lumineux	ADJ	lumineux
fond	NOM	fond
l'	DET:ART	le
sur	PRP	sur
le	DET:ART	le
de	PRP	de
<SEG>
ne	ADV	ne
<EOS>	<EOS>	<EOS>
d'	PRP	de
.	SENT	.
pouvait	VER:impf	pouvoir
qui	PRO:REL	qui
se	PRO:PER	se
ce	PRO:DEM	ce
Mais	KON	mais
voir	VER:infi	voir
<SEG>
haut	ADV	haut
pouvait	VER:impf	pouvoir
en	PRO:PER	en
en	PRP	en
,	PUN	,
voir	VER:infi	voir
se	PRO:PER	se
bas	ADV	bas
d'	PRP	de
c'	PRO:DEM	ce
<SEG>
village	NOM	village
crêtes	NOM	crête
dominent	VER:pres	dominer
du	PRP:det	du
de	PRP	de
qui	PRO:REL	qui
est-à-dire	ADV	est-à-dire
sommet	NOM	sommet
le	DET:ART	le
ces	PRO:DEM	ce
<SEG>
d'	DET:ART	de
Vitylo	NAM	vitylo
amphithéâtre	NOM	amphithéâtre
sur	PRP	sur
construit	VER:pper	construire
.	SENT	.
abruptes	ADJ	abrupt
<EOS>	<EOS>	<EOS>
en	PRP	en
est	VER:pres	être
<SEG>
<EOS>	<EOS>	<EOS>
l'	DET:ART	le
.	SENT	.
de	PRP	de
que	PRO:REL	que
roches	NOM	roche
ancienne	ADJ	ancien
Kélapha	NAM	kélapha
défend	VER:pres	défendre
acropole	NOM	acropole
<SEG>
,	PUN	,
en	PRP	en
dressent	VER:pres	dresser
vieilles	ADJ	vieux
Au-dessus	ADV	au-dessus
ruine	NOM	ruine
se	PRO:PER	se
d'	PRP	de
quelques	PRO:IND	quelque
tours	NOM	tour
<SEG>
un	DET:ART	un
ces	PRO:DEM	ce
postérieure	ADJ	postérieur
d'	PRP	de
à	PRP	à
curieux	ADJ	curieux
temple	NOM	temple
débris	NOM	débris
origine	NOM	origine
une	DET:ART	un
<SEG>
les	DET:ART	le
,	PUN	,
d'	PRP	de
Sérapis	NAM	sérapis
chapiteaux	NOM	chapiteau
les	DET:ART	le
de	PRP	de
colonnes	NOM	colonne
dont	PRO:REL	dont
et	KON	et
<SEG>
ordre	NOM	ordre
l'	DET:ART	le
église	NOM	église
<EOS>	<EOS>	<EOS>
ionique	ADJ	ionique
Vitylo	NAM	vitylo
de	PRP	de
encore	ADV	encore
.	SENT	.
ornent	VER:pres	orner
<SEG>
tours	NOM	tour
deux	NUM	deux
s'	PRO:PER	se
trois	NUM	trois
élèvent	VER:pres	élever
ces	PRO:DEM	ce
de	PRP	de
aussi	ADV	aussi
ou	KON	ou
Près	ADV	près
<SEG>
par	PRP	par
fréquentées	VER:pper	fréquenter
,	PUN	,
.	SENT	.
petites	ADJ	petit
des	PRP:det	du
peu	ADV	peu
moines	NOM	moine
chapelles	NOM	chapelle
desservies	VER:pper	desservir
<SEG>
ce	PRO:DEM	ce
convient	VER:pres	convenir|convier
il	PRO:PER	il
entendre	VER:infi	entendre
sur	PRP	sur
,	PUN	,
<EOS>	<EOS>	<EOS>
s'	PRO:PER	se
Ici	ADV	ici
de	PRP	de
<SEG>
«	PUN:cit	«
même	ADV	même
sur	PRP	sur
desservies	VER:pper	desservir
qualification	NOM	qualification
mot	NOM	mot
cette	PRO:DEM	ce
»	PUN:cit	»
de	PRP	de
