	Malot_ClotildeMartory	Flaubert_MadameBovary	Gaboriau_Lerouge	Maupassant_PierreJean	Aimard_BanditsArizona	Stolz_TresorNanette	Zola_Nana	sum
,	3389.0	12389.0	10486.0	4476.0	5768.0	4616.0	17981.0	59105.0
.	2078.0	5006.0	7206.0	1930.0	2731.0	1373.0	7819.0	28143.0
de	1789.0	4401.0	4784.0	1582.0	2336.0	1831.0	6093.0	22816.0
la	955.0	3370.0	2643.0	1041.0	1149.0	1302.0	3972.0	14432.0
le	858.0	2350.0	3252.0	885.0	1925.0	763.0	3301.0	13334.0
et	1159.0	2804.0	2490.0	1332.0	1608.0	1238.0	2456.0	13087.0
à	989.0	2399.0	2374.0	784.0	1324.0	912.0	2171.0	10953.0
il	568.0	1875.0	3091.0	921.0	973.0	409.0	2138.0	9975.0
les	574.0	2268.0	1274.0	631.0	1355.0	609.0	2373.0	9084.0
un	565.0	1314.0	1883.0	498.0	944.0	494.0	2097.0	7795.0
--	487.0	1284.0	1777.0	250.0	1998.0	372.0	1525.0	7693.0
que	899.0	798.0	1645.0	452.0	1124.0	712.0	1106.0	6736.0
elle	433.0	1569.0	994.0	334.0	90.0	796.0	2291.0	6507.0
en	514.0	1289.0	1231.0	374.0	1023.0	557.0	1458.0	6446.0
!	102.0	1516.0	1394.0	317.0	495.0	399.0	1874.0	6097.0
des	297.0	1636.0	797.0	345.0	596.0	286.0	1944.0	5901.0
une	420.0	909.0	1249.0	373.0	714.0	466.0	1684.0	5815.0
je	1189.0	409.0	1698.0	343.0	902.0	533.0	690.0	5764.0
;	510.0	1393.0	565.0	185.0	1028.0	546.0	1116.0	5343.0
se	238.0	1367.0	919.0	373.0	461.0	355.0	1518.0	5231.0
qui	556.0	1147.0	1017.0	353.0	501.0	479.0	1124.0	5177.0
pas	682.0	695.0	1248.0	309.0	590.0	423.0	1177.0	5124.0
ne	602.0	704.0	1210.0	381.0	594.0	472.0	1101.0	5064.0
dans	496.0	1137.0	674.0	345.0	477.0	334.0	1297.0	4760.0
l'	607.0	0.0	1992.0	0.0	999.0	652.0	0.0	4250.0
vous	634.0	443.0	1250.0	102.0	1031.0	367.0	370.0	4197.0
son	178.0	833.0	920.0	393.0	292.0	275.0	1001.0	3892.0
pour	439.0	669.0	892.0	298.0	425.0	364.0	792.0	3879.0
est	526.0	184.0	1371.0	104.0	641.0	553.0	289.0	3668.0
ce	472.0	427.0	843.0	242.0	474.0	384.0	749.0	3591.0
lui	146.0	803.0	845.0	344.0	254.0	259.0	908.0	3559.0
?	300.0	530.0	912.0	333.0	525.0	250.0	620.0	3470.0
du	179.0	810.0	753.0	227.0	381.0	266.0	847.0	3463.0
sa	150.0	857.0	655.0	320.0	198.0	337.0	728.0	3245.0
d'	489.0	0.0	1601.0	0.0	653.0	420.0	0.0	3163.0
au	268.0	679.0	618.0	153.0	319.0	232.0	768.0	3037.0
sur	163.0	825.0	457.0	254.0	370.0	140.0	804.0	3013.0
plus	225.0	537.0	759.0	249.0	381.0	285.0	545.0	2981.0
avait	190.0	519.0	670.0	194.0	313.0	242.0	843.0	2971.0
était	294.0	396.0	835.0	107.0	401.0	321.0	528.0	2882.0
avec	133.0	465.0	396.0	176.0	433.0	186.0	884.0	2673.0
mais	279.0	418.0	507.0	214.0	350.0	232.0	659.0	2659.0
comme	165.0	665.0	496.0	231.0	194.0	246.0	645.0	2642.0
on	255.0	380.0	604.0	154.0	221.0	405.0	573.0	2592.0
tout	129.0	548.0	492.0	212.0	218.0	295.0	600.0	2494.0
qu'	419.0	0.0	1160.0	1.0	455.0	456.0	0.0	2491.0
par	202.0	539.0	396.0	227.0	267.0	178.0	610.0	2419.0
ses	89.0	607.0	520.0	165.0	240.0	204.0	584.0	2409.0
:	174.0	479.0	406.0	413.0	148.0	250.0	506.0	2376.0
...	15.0	408.0	423.0	194.0	78.0	62.0	1021.0	2201.0
si	244.0	327.0	531.0	172.0	211.0	233.0	459.0	2177.0
bien	176.0	313.0	509.0	145.0	292.0	327.0	410.0	2172.0
n'	466.0	0.0	875.0	1.0	369.0	315.0	0.0	2026.0
me	574.0	102.0	626.0	77.0	256.0	159.0	178.0	1972.0
cette	223.0	227.0	458.0	174.0	230.0	138.0	478.0	1928.0
s'	208.0	0.0	918.0	0.0	471.0	272.0	0.0	1869.0
a	236.0	120.0	650.0	54.0	218.0	243.0	199.0	1720.0
c'	272.0	0.0	635.0	0.0	325.0	361.0	0.0	1593.0
nous	326.0	128.0	256.0	114.0	379.0	197.0	160.0	1560.0
mon	258.0	75.0	387.0	86.0	320.0	122.0	224.0	1472.0
sans	110.0	229.0	328.0	125.0	244.0	104.0	323.0	1463.0
j'	465.0	0.0	554.0	0.0	232.0	206.0	0.0	1457.0
dit	76.0	163.0	213.0	59.0	409.0	132.0	272.0	1324.0
y	137.0	241.0	310.0	39.0	122.0	204.0	209.0	1262.0
ils	77.0	252.0	151.0	78.0	336.0	34.0	281.0	1209.0
deux	68.0	229.0	147.0	123.0	179.0	121.0	337.0	1204.0
«	55.0	122.0	145.0	498.0	91.0	174.0	96.0	1181.0
où	113.0	268.0	168.0	75.0	137.0	66.0	305.0	1132.0
m'	416.0	0.0	391.0	0.0	197.0	106.0	0.0	1110.0
moi	184.0	83.0	315.0	87.0	131.0	126.0	174.0	1100.0
ces	87.0	171.0	188.0	80.0	185.0	117.0	271.0	1099.0
»	55.0	112.0	178.0	501.0	4.0	126.0	96.0	1072.0
tu	58.0	150.0	108.0	176.0	90.0	140.0	336.0	1058.0
ai	167.0	23.0	443.0	6.0	199.0	172.0	27.0	1037.0
quand	87.0	227.0	158.0	96.0	79.0	126.0	245.0	1018.0
ma	215.0	70.0	272.0	30.0	114.0	189.0	114.0	1004.0
puis	48.0	260.0	103.0	134.0	53.0	46.0	333.0	977.0
d’un	0.0	308.0	0.0	132.0	0.0	0.0	524.0	964.0
même	75.0	220.0	178.0	88.0	98.0	83.0	200.0	942.0
faire	119.0	167.0	166.0	50.0	126.0	144.0	160.0	932.0
donc	59.0	170.0	217.0	64.0	126.0	72.0	222.0	930.0
encore	37.0	153.0	212.0	72.0	78.0	82.0	293.0	927.0
rien	74.0	143.0	228.0	107.0	127.0	70.0	157.0	906.0
aux	59.0	196.0	136.0	72.0	102.0	79.0	255.0	899.0
qu’il	0.0	367.0	0.0	178.0	0.0	0.0	328.0	873.0
nana	0.0	0.0	0.0	0.0	0.0	0.0	865.0	865.0
fait	96.0	101.0	199.0	55.0	143.0	107.0	161.0	862.0
très	24.0	34.0	139.0	71.0	118.0	82.0	368.0	836.0
monsieur	6.0	57.0	591.0	13.0	36.0	6.0	113.0	822.0
femme	86.0	124.0	173.0	71.0	14.0	43.0	303.0	814.0
tous	41.0	177.0	159.0	66.0	107.0	78.0	185.0	813.0
leur	49.0	174.0	98.0	78.0	183.0	64.0	157.0	803.0
ou	138.0	194.0	167.0	92.0	79.0	45.0	62.0	777.0
peu	35.0	165.0	130.0	91.0	101.0	99.0	151.0	772.0
alors	49.0	162.0	103.0	67.0	93.0	9.0	264.0	747.0
m	141.0	222.0	285.0	22.0	16.0	4.0	43.0	733.0
cela	94.0	91.0	188.0	55.0	166.0	55.0	55.0	704.0
toujours	50.0	122.0	85.0	61.0	73.0	82.0	231.0	704.0
dont	32.0	109.0	120.0	43.0	115.0	50.0	235.0	704.0
chez	85.0	137.0	154.0	28.0	18.0	58.0	216.0	696.0
être	114.0	54.0	205.0	31.0	103.0	63.0	120.0	690.0
homme	46.0	99.0	221.0	48.0	93.0	10.0	162.0	679.0
d’une	0.0	222.0	0.0	75.0	0.0	0.0	378.0	675.0
-vous	63.0	79.0	230.0	27.0	140.0	50.0	85.0	674.0
ça	2.0	29.0	22.0	66.0	6.0	42.0	505.0	672.0
sous	34.0	192.0	89.0	37.0	50.0	69.0	200.0	671.0
fut	50.0	148.0	100.0	52.0	85.0	51.0	183.0	669.0
non	43.0	100.0	192.0	80.0	63.0	59.0	129.0	666.0
père	30.0	67.0	342.0	107.0	50.0	25.0	36.0	657.0
suis	102.0	58.0	217.0	37.0	118.0	53.0	70.0	655.0
c’est	0.0	193.0	0.0	102.0	0.0	0.0	354.0	649.0
yeux	48.0	128.0	107.0	56.0	45.0	47.0	210.0	641.0
été	119.0	62.0	209.0	40.0	134.0	51.0	22.0	637.0
madame	32.0	235.0	105.0	10.0	16.0	23.0	196.0	617.0
après	58.0	110.0	123.0	61.0	74.0	49.0	136.0	611.0
votre	86.0	65.0	225.0	14.0	121.0	61.0	28.0	600.0
qu’elle	0.0	267.0	0.0	53.0	0.0	0.0	280.0	600.0
oui	15.0	66.0	133.0	83.0	119.0	52.0	131.0	599.0
mère	10.0	97.0	82.0	114.0	48.0	183.0	57.0	591.0
comte	10.0	3.0	268.0	0.0	22.0	1.0	285.0	589.0
fois	45.0	132.0	126.0	41.0	46.0	62.0	128.0	580.0
c’était	0.0	185.0	0.0	55.0	0.0	0.0	328.0	568.0
là	61.0	107.0	108.0	19.0	35.0	52.0	178.0	560.0
tête	28.0	128.0	98.0	33.0	45.0	40.0	186.0	558.0
jamais	46.0	74.0	131.0	56.0	65.0	58.0	126.0	556.0
toutes	28.0	105.0	106.0	53.0	80.0	58.0	124.0	554.0
voir	60.0	114.0	87.0	41.0	33.0	46.0	167.0	548.0
ah	12.0	131.0	93.0	36.0	66.0	37.0	172.0	547.0
temps	59.0	116.0	121.0	47.0	56.0	82.0	61.0	542.0
étaient	54.0	84.0	83.0	20.0	157.0	50.0	90.0	538.0
trois	38.0	123.0	92.0	34.0	78.0	38.0	132.0	535.0
coup	33.0	95.0	90.0	47.0	47.0	20.0	203.0	535.0
-ce	39.0	86.0	107.0	60.0	61.0	22.0	159.0	534.0
toute	20.0	98.0	95.0	53.0	70.0	56.0	140.0	532.0
devant	36.0	115.0	85.0	56.0	24.0	27.0	182.0	525.0
autre	60.0	96.0	156.0	22.0	71.0	53.0	57.0	515.0
voix	19.0	83.0	103.0	51.0	52.0	17.0	184.0	509.0
dire	62.0	53.0	142.0	44.0	61.0	58.0	88.0	508.0
aussi	41.0	82.0	107.0	38.0	81.0	56.0	102.0	507.0
avoir	61.0	62.0	154.0	23.0	60.0	50.0	96.0	506.0
car	71.0	126.0	67.0	54.0	48.0	68.0	61.0	495.0
jeune	25.0	57.0	129.0	34.0	65.0	51.0	134.0	495.0
grand	23.0	91.0	105.0	26.0	55.0	51.0	143.0	494.0
trop	46.0	76.0	97.0	31.0	47.0	55.0	142.0	494.0
porte	34.0	97.0	105.0	36.0	23.0	20.0	174.0	489.0
fit	19.0	115.0	121.0	25.0	89.0	38.0	81.0	488.0
leurs	28.0	136.0	44.0	37.0	101.0	24.0	114.0	484.0
depuis	39.0	48.0	121.0	42.0	43.0	41.0	139.0	473.0
monde	54.0	71.0	81.0	39.0	24.0	39.0	160.0	468.0
mes	136.0	21.0	120.0	12.0	85.0	62.0	31.0	467.0
jour	43.0	105.0	78.0	40.0	38.0	75.0	88.0	467.0
entre	26.0	126.0	81.0	25.0	51.0	35.0	117.0	461.0
sont	50.0	63.0	110.0	14.0	136.0	44.0	43.0	460.0
bon	24.0	62.0	88.0	34.0	80.0	78.0	88.0	454.0
quelque	16.0	184.0	97.0	29.0	25.0	15.0	84.0	450.0
enfin	33.0	126.0	87.0	13.0	39.0	18.0	130.0	446.0
petit	12.0	62.0	62.0	45.0	3.0	56.0	201.0	441.0
cœur	39.0	63.0	84.0	59.0	37.0	95.0	60.0	437.0
ainsi	52.0	66.0	84.0	22.0	128.0	27.0	56.0	435.0
point	80.0	115.0	65.0	76.0	17.0	42.0	40.0	435.0
vers	27.0	144.0	54.0	78.0	23.0	12.0	95.0	433.0
pendant	63.0	51.0	68.0	18.0	74.0	40.0	116.0	430.0
mme	0.0	0.0	67.0	109.0	0.0	59.0	194.0	429.0
te	27.0	45.0	63.0	68.0	50.0	57.0	114.0	424.0
heures	67.0	78.0	72.0	34.0	53.0	16.0	103.0	423.0
avaient	34.0	71.0	69.0	21.0	113.0	30.0	84.0	422.0
bonne	25.0	74.0	44.0	30.0	38.0	127.0	84.0	422.0
cependant	35.0	103.0	93.0	18.0	34.0	24.0	114.0	421.0
main	66.0	89.0	66.0	40.0	41.0	25.0	89.0	416.0
fille	42.0	29.0	65.0	12.0	46.0	101.0	116.0	411.0
quelques	37.0	64.0	67.0	37.0	100.0	41.0	63.0	409.0
oh	2.0	64.0	55.0	35.0	61.0	41.0	150.0	408.0
avez	53.0	15.0	155.0	8.0	116.0	34.0	26.0	407.0
répondit	7.0	51.0	133.0	46.0	69.0	22.0	77.0	405.0
contre	23.0	132.0	71.0	29.0	38.0	7.0	98.0	398.0
près	29.0	86.0	81.0	23.0	41.0	30.0	107.0	397.0
soir	31.0	87.0	71.0	26.0	15.0	23.0	140.0	393.0
comment	44.0	58.0	81.0	29.0	78.0	44.0	59.0	393.0
chose	25.0	107.0	70.0	42.0	34.0	42.0	71.0	391.0
elles	24.0	51.0	47.0	25.0	64.0	54.0	123.0	388.0
petite	11.0	79.0	38.0	31.0	9.0	125.0	93.0	386.0
maintenant	66.0	62.0	70.0	52.0	23.0	8.0	105.0	386.0
faut	45.0	42.0	92.0	30.0	40.0	66.0	68.0	383.0
moins	46.0	65.0	114.0	28.0	54.0	40.0	31.0	378.0
faisait	7.0	101.0	53.0	26.0	24.0	33.0	133.0	377.0
fils	5.0	30.0	170.0	89.0	34.0	4.0	43.0	375.0
-même	33.0	102.0	64.0	25.0	27.0	37.0	85.0	373.0
moment	56.0	35.0	120.0	18.0	44.0	34.0	66.0	373.0
ni	35.0	58.0	133.0	32.0	46.0	27.0	32.0	363.0
mains	28.0	82.0	59.0	33.0	22.0	30.0	109.0	363.0
cet	41.0	52.0	103.0	38.0	48.0	24.0	53.0	359.0
sais	34.0	42.0	90.0	34.0	50.0	30.0	74.0	354.0
blanche	8.0	35.0	11.0	11.0	6.0	182.0	100.0	353.0
chambre	16.0	70.0	58.0	22.0	21.0	27.0	139.0	353.0
jours	29.0	74.0	81.0	29.0	27.0	36.0	77.0	353.0
voilà	16.0	42.0	84.0	24.0	43.0	40.0	103.0	352.0
hommes	11.0	28.0	53.0	22.0	97.0	4.0	134.0	349.0
vie	68.0	59.0	76.0	34.0	32.0	39.0	39.0	347.0
tant	18.0	62.0	76.0	26.0	35.0	72.0	58.0	347.0
autres	43.0	60.0	44.0	15.0	58.0	43.0	83.0	346.0
maison	31.0	79.0	64.0	31.0	14.0	48.0	79.0	346.0
bras	33.0	92.0	37.0	39.0	23.0	17.0	104.0	345.0
eut	4.0	71.0	50.0	38.0	24.0	14.0	144.0	345.0
notre	82.0	25.0	85.0	15.0	74.0	54.0	8.0	343.0
fort	13.0	97.0	83.0	22.0	50.0	21.0	56.0	342.0
dieu	10.0	37.0	57.0	14.0	45.0	85.0	93.0	341.0
grande	17.0	51.0	46.0	29.0	58.0	45.0	92.0	338.0
juge	2.0	1.0	320.0	7.0	3.0	1.0	3.0	337.0
reprit	2.0	61.0	79.0	32.0	93.0	7.0	61.0	335.0
charles	0.0	316.0	2.0	0.0	0.0	0.0	13.0	331.0
noël	1.0	1.0	326.0	0.0	0.0	0.0	0.0	328.0
eh	19.0	56.0	49.0	20.0	60.0	28.0	96.0	328.0
venait	3.0	68.0	60.0	14.0	4.0	15.0	162.0	326.0
peut-être	34.0	64.0	82.0	21.0	57.0	12.0	55.0	325.0
serait	42.0	45.0	95.0	25.0	32.0	18.0	65.0	322.0
air	15.0	38.0	65.0	18.0	21.0	26.0	138.0	321.0
pouvait	26.0	47.0	99.0	39.0	12.0	13.0	85.0	321.0
femmes	9.0	47.0	34.0	31.0	29.0	7.0	163.0	320.0
pauvre	8.0	69.0	71.0	25.0	18.0	76.0	49.0	316.0
emma	0.0	314.0	0.0	0.0	0.0	0.0	0.0	314.0
don	0.0	0.0	1.0	0.0	310.0	2.0	1.0	314.0
dit-il	23.0	52.0	121.0	18.0	59.0	2.0	36.0	311.0
enfant	16.0	34.0	85.0	19.0	12.0	97.0	47.0	310.0
heure	35.0	21.0	95.0	13.0	37.0	33.0	71.0	305.0
eu	46.0	32.0	86.0	20.0	37.0	22.0	62.0	305.0
pourquoi	41.0	56.0	53.0	31.0	42.0	18.0	60.0	301.0
nom	26.0	35.0	130.0	14.0	22.0	9.0	64.0	300.0
ton	17.0	36.0	87.0	32.0	21.0	32.0	74.0	299.0
seul	35.0	55.0	64.0	27.0	41.0	20.0	55.0	297.0
-là	9.0	60.0	50.0	39.0	9.0	32.0	98.0	297.0
-moi	26.0	60.0	85.0	15.0	54.0	15.0	42.0	297.0
ont	45.0	14.0	88.0	8.0	86.0	37.0	16.0	294.0
seulement	17.0	25.0	91.0	19.0	24.0	20.0	97.0	293.0
général	32.0	4.0	3.0	1.0	241.0	4.0	7.0	292.0
avant	30.0	37.0	75.0	30.0	56.0	16.0	46.0	290.0
personne	20.0	56.0	53.0	18.0	23.0	28.0	90.0	288.0
avais	151.0	1.0	72.0	2.0	33.0	20.0	6.0	285.0
assez	33.0	32.0	89.0	14.0	52.0	31.0	34.0	285.0
presque	9.0	42.0	83.0	32.0	67.0	24.0	26.0	283.0
êtes	47.0	29.0	100.0	9.0	58.0	16.0	23.0	282.0
aurait	11.0	43.0	78.0	23.0	32.0	18.0	75.0	280.0
mille	6.0	46.0	98.0	19.0	9.0	14.0	87.0	279.0
demanda	3.0	45.0	49.0	41.0	45.0	11.0	84.0	278.0
vrai	23.0	29.0	58.0	26.0	60.0	21.0	61.0	278.0
allait	8.0	78.0	63.0	27.0	9.0	16.0	77.0	278.0
ans	26.0	39.0	78.0	14.0	16.0	48.0	56.0	277.0
mal	7.0	42.0	70.0	23.0	21.0	47.0	67.0	277.0
francs	11.0	47.0	70.0	22.0	7.0	11.0	108.0	276.0
milieu	16.0	54.0	36.0	12.0	16.0	14.0	127.0	275.0
mot	51.0	26.0	79.0	19.0	35.0	15.0	50.0	275.0
doute	26.0	61.0	70.0	19.0	43.0	5.0	50.0	274.0
disait	12.0	61.0	54.0	26.0	10.0	22.0	88.0	273.0
peine	14.0	43.0	75.0	18.0	31.0	43.0	48.0	272.0
tandis	11.0	67.0	25.0	16.0	9.0	5.0	137.0	270.0
beaucoup	21.0	52.0	60.0	33.0	26.0	41.0	36.0	269.0
qu’on	0.0	70.0	0.0	41.0	0.0	0.0	158.0	269.0
s’était	0.0	59.0	0.0	39.0	0.0	0.0	170.0	268.0
fond	5.0	54.0	42.0	22.0	11.0	28.0	106.0	268.0
quoi	14.0	47.0	95.0	16.0	33.0	18.0	44.0	267.0
pourtant	1.0	53.0	73.0	17.0	3.0	23.0	95.0	265.0
déjà	21.0	29.0	64.0	29.0	15.0	20.0	85.0	263.0
nuit	16.0	59.0	45.0	11.0	32.0	14.0	84.0	261.0
table	22.0	56.0	35.0	19.0	24.0	15.0	90.0	261.0
-tu	14.0	44.0	27.0	28.0	23.0	48.0	76.0	260.0
veux	47.0	17.0	39.0	28.0	26.0	35.0	67.0	259.0
quatre	13.0	50.0	68.0	18.0	34.0	15.0	61.0	259.0
vieux	11.0	25.0	91.0	21.0	9.0	32.0	68.0	257.0
eût	39.0	47.0	77.0	25.0	13.0	24.0	32.0	257.0
prendre	36.0	41.0	50.0	26.0	35.0	13.0	53.0	254.0
semblait	4.0	67.0	32.0	42.0	18.0	14.0	77.0	254.0
place	25.0	86.0	35.0	16.0	23.0	19.0	49.0	253.0
albert	0.0	0.0	252.0	0.0	0.0	1.0	0.0	253.0
tabaret	0.0	0.0	252.0	0.0	0.0	0.0	0.0	252.0
j’ai	0.0	83.0	0.0	50.0	0.0	0.0	118.0	251.0
terre	8.0	73.0	31.0	16.0	40.0	26.0	57.0	251.0
va	18.0	28.0	50.0	25.0	12.0	40.0	78.0	251.0
loin	23.0	87.0	33.0	18.0	27.0	15.0	48.0	251.0
pris	27.0	31.0	59.0	19.0	28.0	11.0	74.0	249.0
chaque	31.0	66.0	11.0	25.0	20.0	20.0	76.0	249.0
mieux	20.0	37.0	46.0	10.0	52.0	27.0	57.0	249.0
muffat	0.0	0.0	0.0	0.0	0.0	0.0	248.0	248.0
derrière	4.0	64.0	12.0	18.0	11.0	2.0	136.0	247.0
paris	48.0	25.0	44.0	17.0	7.0	3.0	102.0	246.0
fauchery	0.0	0.0	0.0	0.0	0.0	0.0	246.0	246.0
parce	25.0	17.0	34.0	24.0	34.0	55.0	55.0	244.0
l’autre	0.0	90.0	0.0	57.0	0.0	0.0	96.0	243.0
côté	26.0	54.0	40.0	19.0	18.0	18.0	64.0	239.0
devait	15.0	35.0	56.0	17.0	20.0	14.0	77.0	234.0
celui	28.0	24.0	61.0	14.0	42.0	18.0	47.0	234.0
matin	28.0	43.0	47.0	14.0	22.0	11.0	68.0	233.0
seule	14.0	37.0	47.0	14.0	17.0	38.0	66.0	233.0
lorsque	15.0	27.0	47.0	3.0	23.0	12.0	105.0	232.0
bout	11.0	69.0	44.0	21.0	7.0	10.0	68.0	230.0
ami	26.0	25.0	80.0	25.0	56.0	5.0	12.0	229.0
mois	33.0	35.0	36.0	19.0	20.0	24.0	61.0	228.0
n’est	0.0	75.0	0.0	43.0	0.0	0.0	108.0	226.0
parler	30.0	32.0	60.0	26.0	27.0	13.0	38.0	226.0
peut	33.0	13.0	96.0	9.0	27.0	21.0	26.0	225.0
sera	39.0	16.0	73.0	9.0	54.0	21.0	11.0	223.0
voulait	19.0	26.0	48.0	15.0	5.0	18.0	91.0	222.0
daburon	0.0	0.0	222.0	0.0	0.0	0.0	0.0	222.0
dit-elle	51.0	45.0	25.0	12.0	3.0	17.0	67.0	220.0
cher	15.0	7.0	48.0	9.0	75.0	17.0	49.0	220.0
fallait	24.0	54.0	25.0	20.0	20.0	17.0	59.0	219.0
souvent	28.0	61.0	45.0	19.0	12.0	29.0	24.0	218.0
choses	22.0	51.0	27.0	19.0	18.0	33.0	48.0	218.0
dames	1.0	19.0	3.0	5.0	72.0	9.0	108.0	217.0
ici	20.0	12.0	64.0	14.0	53.0	24.0	29.0	216.0
vu	21.0	25.0	58.0	12.0	22.0	20.0	58.0	216.0
étais	99.0	5.0	60.0	0.0	23.0	24.0	5.0	216.0
colonel	5.0	3.0	1.0	0.0	206.0	0.0	0.0	215.0
pierre	1.0	4.0	5.0	190.0	10.0	2.0	3.0	215.0
celle	34.0	31.0	48.0	15.0	18.0	30.0	36.0	212.0
gens	28.0	30.0	51.0	18.0	9.0	17.0	59.0	212.0
toi	7.0	22.0	23.0	47.0	16.0	43.0	54.0	212.0
bas	3.0	79.0	29.0	15.0	9.0	18.0	58.0	211.0
bovary	0.0	211.0	0.0	0.0	0.0	0.0	0.0	211.0
rue	18.0	36.0	50.0	18.0	0.0	0.0	89.0	211.0
long	5.0	75.0	39.0	14.0	17.0	12.0	48.0	210.0
regard	22.0	23.0	43.0	19.0	29.0	20.0	53.0	209.0
mort	39.0	20.0	50.0	18.0	41.0	6.0	35.0	209.0
-je	44.0	24.0	73.0	5.0	38.0	15.0	10.0	209.0
s’en	0.0	113.0	0.0	28.0	0.0	0.0	68.0	209.0
vite	18.0	50.0	49.0	17.0	18.0	23.0	33.0	208.0
longtemps	26.0	20.0	41.0	30.0	36.0	28.0	27.0	208.0
docteur	2.0	23.0	30.0	42.0	102.0	2.0	7.0	208.0
quel	18.0	48.0	64.0	10.0	17.0	17.0	33.0	207.0
