LIVRE	NOM	livre
PREMIER	NAM	premier
I	NUM	i
L'	DET:ART	le
école	NOM	école
Saint-Francois-Xavier	NAM	saint-francois-xavier
,	PUN	,
que	PRO:REL	que
dirigeaient	VER:impf	diriger
,	PUN	,
que	PRO:REL	que
dirigent	VER:pres	diriger
encore	ADV	encore
les	DET:ART	le
Pères	NOM	père
Jésuites	NAM	jésuites
,	PUN	,
en	PRP	en
la	DET:ART	le
pittoresque	ADJ	pittoresque
ville	NOM	ville
de	PRP	de
Vannes	NAM	vannes
,	PUN	,
se	PRO:PER	se
trouvait	VER:impf	trouver
,	PUN	,
vers	PRP	vers
1862	NUM	@card@
,	PUN	,
dans	PRP	dans
tout	PRO:IND	tout
l'	DET:ART	le
éclat	NOM	éclat
de	PRP	de
sa	DET:POS	son
renommée	NOM	renommée
.	SENT	.
<EOS>	<EOS>	<EOS>
Aujourd'hui	ADV	aujourd'hui
,	PUN	,
par	PRP	par
un	NUM	un
de	PRP	de
ces	PRO:DEM	ce
caprices	NOM	caprice
de	PRP	de
la	DET:ART	le
mode	NOM	mode
qui	PRO:REL	qui
atteignent	VER:pres	atteindre
et	KON	et
changent	VER:pres	changer
la	DET:ART	le
forme	NOM	forme
des	PRP:det	du
gouvernements	NOM	gouvernement
,	PUN	,
des	PRP:det	du
royautés	NOM	royauté
féminines	ADJ	féminin
,	PUN	,
des	PRP:det	du
chapeaux	NOM	chapeau
et	KON	et
des	PRP:det	du
collèges	NOM	collège
,	PUN	,
bien	ADV	bien
plus	ADV	plus
que	KON	que
par	PRP	par
les	DET:ART	le
récentes	ADJ	récent
persécutions	NOM	persécution
politiques	ADJ	politique
,	PUN	,
lesquelles	PRO:REL	lequel
n'	ADV	ne
amenèrent	VER:simp	amener
qu'	KON	que
un	DET:ART	un
changement	NOM	changement
de	PRP	de
personnel	NOM	personnel
vite	ADV	vite
rétabli	VER:pper	rétablir
,	PUN	,
elle	PRO:PER	elle
est	VER:pres	être
tombée	VER:pper	tomber
au	PRP:det	au
niveau	NOM	niveau
d'	PRP	de
un	DET:ART	un
séminaire	NOM	séminaire
diocésain	ADJ	diocésain
quelconque	ADJ	quelconque
.	SENT	.
<EOS>	<EOS>	<EOS>
Mais	KON	mais
,	PUN	,
à	PRP	à
cette	PRO:DEM	ce
époque	NOM	époque
,	PUN	,
il	PRO:PER	il
en	PRO:PER	en
existait	VER:impf	exister
peu	ADV	peu
,	PUN	,
soit	KON	soit
parmi	PRP	parmi
les	DET:ART	le
congréganistes	NOM	congréganiste
,	PUN	,
soit	KON	soit
parmi	PRP	parmi
les	DET:ART	le
laïques	ADJ	laïque
,	PUN	,
d'	PRP	de
aussi	ADV	aussi
florissantes	ADJ	florissant
.	SENT	.
<EOS>	<EOS>	<EOS>
Outre	ADV	outre
les	DET:ART	le
fils	NOM	fil|fils
des	PRP:det	du
familles	NOM	famille
nobles	ADJ	noble
de	PRP	de
la	DET:ART	le
Bretagne	NAM	bretagne
,	PUN	,
de	PRP	de
l'	DET:ART	le
Anjou	NAM	anjou
,	PUN	,
de	PRP	de
la	DET:ART	le
Vendée	NAM	vendée
,	PUN	,
qui	PRO:REL	qui
formaient	VER:impf	former
le	DET:ART	le
fond	NOM	fond
de	PRP	de
son	DET:POS	son
ordinaire	ADJ	ordinaire
clientèle	NOM	clientèle
,	PUN	,
la	DET:ART	le
célèbre	ADJ	célèbre
institution	NOM	institution
recevait	VER:impf	recevoir
des	PRP:det	du
élèves	NOM	élève
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
parties	NOM	partie
de	PRP	de
la	DET:ART	le
France	NAM	france
bien-pensante	ADJ	bien-pensant
.	SENT	.
<EOS>	<EOS>	<EOS>
Elle	PRO:PER	elle
en	PRO:PER	en
recevait	VER:impf	recevoir
même	ADV	même
de	PRP	de
l'	DET:ART	le
étranger	ADJ	étranger
catholique	ADJ	catholique
,	PUN	,
d'	PRP	de
Espagne	NAM	espagne
,	PUN	,
d'	PRP	de
Italie	NAM	italie
,	PUN	,
de	PRP	de
Belgique	NAM	belgique
,	PUN	,
d'	PRP	de
Autriche	NAM	autriche
